0,1,2,3,4,5,6,7,8,9,10
SLCO1A2,2.4,3.38,0.34,0.98,0.55,0.12,0.7,1.36,0.58,0.17
APOB,220.6,233.99,178.04,209.36,180.15,114.71,167.57,150.71,56.26,168.14
NCOA1,4.72,3.5,6.71,6.94,6.23,7.1,8.91,8.78,10.1,4.71
CD59,79.32,49.48,256.46,135.43,99.68,259.54,165.35,169.96,87.99,90.81
CD82,16.74,19.74,37.22,33.0,27.91,32.1,18.74,16.61,8.77,28.18
ATRX,25.74,22.86,24.92,33.97,34.24,10.14,33.75,49.28,37.6,22.88
MECOM,0.52,0.24,1.15,1.07,0.86,0.84,0.75,3.14,2.35,1.29
ABCB1,14.24,9.78,62.99,34.97,22.74,50.21,28.12,25.83,22.9,7.7
WNT11,7.28,8.14,2.0,9.32,7.87,4.09,2.85,0.13,2.68,0.91
MGST2,169.83,199.84,172.11,196.07,200.69,84.92,160.99,194.82,85.0,193.92
POMGNT1,45.48,30.34,50.07,56.5,47.16,56.55,53.48,141.55,47.27,52.43
B4GALT1,28.03,21.35,41.0,25.8,25.83,30.41,48.21,33.08,29.34,54.23
NFX1,14.78,12.92,14.34,15.95,25.28,12.12,17.64,17.08,26.79,22.71
EIF2AK1,15.97,16.62,36.39,23.94,20.72,43.24,19.29,28.28,15.26,51.46
HSD17B2,62.59,50.74,58.26,92.97,72.96,6.11,81.07,52.94,52.9,17.92
NOX4,0.12,0.0,0.46,0.02,0.26,0.53,0.36,1.96,0.02,0.88
ACOX3,8.0,9.16,8.08,12.03,12.22,4.5,6.59,10.55,7.68,9.38
