0,1,2,3,4,5,6,7,8,9,10
EPB41L3,53.0,16.0,91.0,162.0,57.0,25.0,147.0,72.0,88.0,150.0
TRAF5,101.0,42.0,286.0,297.0,196.0,136.0,245.0,188.0,199.0,235.0
NFE2L1,1155.0,1120.0,2372.0,2195.0,1330.0,5073.0,1510.0,1459.0,925.0,1197.0
XPO1,476.92,344.0,1092.89,1185.77,860.68,765.8,804.43,1135.01,495.62,1211.96
KAT6A,384.0,437.0,419.0,539.0,524.0,597.0,714.0,458.0,659.0,604.0
GRHL2,3.0,9.0,50.0,41.0,59.0,1.0,110.0,0.0,76.0,1.0
CYLD,337.0,261.0,456.0,576.0,431.0,630.0,465.0,285.0,288.0,402.0
STARD7,546.53,681.94,1122.38,816.73,796.68,1643.97,793.7,1021.99,401.68,1106.63
REST,323.0,432.0,559.0,684.0,447.0,556.0,520.0,650.0,528.0,505.0
GSTP1,284.0,149.0,899.0,902.0,581.0,141.0,1537.0,561.0,955.0,217.0
SLCO1A2,135.0,264.0,16.0,54.0,29.0,9.0,34.0,63.0,23.0,10.0
APOB,42944.0,50507.0,38515.0,41297.0,34661.0,29183.0,33982.0,28627.0,9379.0,38824.0
NCOA1,358.0,330.0,579.0,647.0,477.0,837.0,653.0,761.0,505.0,469.0
CD59,1777.66,1143.0,5277.27,2636.0,2097.91,5899.35,3437.06,3579.59,2217.27,2106.35
CD82,308.0,294.0,583.0,455.0,464.0,721.0,334.0,301.0,179.0,644.0
ATRX,1770.0,1720.0,2164.0,2619.0,2389.0,1091.0,2531.0,3177.0,2480.0,2255.0
